,Country,Year,pop,Region,co2_mtco2,coalcons_mtoe,coalprod_mtoe,gascons_mtoe,gasprod_mtoe,hydro_mtoe,hydro_twh,nuclear_mtoe,nuclear_twh,oilcons_mtoe,oilprod_mt,primary_gj_pc,primary_mtoe,renewables_mtoe,renewables_twh,solar_mtoe,solar_twh,wind_mtoe,wind_twh,$ money of the day,$ 2018
321,Total North America,2016,486.00985,,6058.156832,371.6798735,387.1306602,806.5302464,810.6722145,154.23593830000002,681.6303056,217.0218102,959.1061879,1091.094456,881.2629245999999,235.80371890000004,2737.243959,96.68163472,427.2748165,13.28320412,58.70379227,60.83236281,268.84254419999996,43.7341699604743,45.75681632729387
322,Total North America,2017,490.246938,,6040.739114999999,365.075585,410.5502633,804.4156912999999,826.8092377,164.0848708,725.1566781,216.9089156,958.6072617999998,1096.6137099999999,918.7488863,235.32294790000003,2755.478041,108.379269,478.97134129999995,18.67567334,82.53527076,67.10351281,296.5572645,54.1924404761905,55.51607845404197
323,Total North America,2018,494.47958700000004,,6157.935105,343.3332373,400.73014839999996,879.0549014000001,906.1613667000001,160.2824662,708.3523312000001,217.9443636,963.1833207000001,1112.527817,1027.146327,239.78596780000004,2831.978273,118.8354875,525.1815534,23.28534025,102.90723270000001,72.98012499,322.5283644,71.3100597609562,71.3100597609562
324,Total S. & Cent. America,1965,208.534327,,294.2577476,5.780004107000001,,12.75384192,,9.004179847,39.79307241,0.0,0.0,82.4986982,226.27524259999998,22.09237026,110.03672409999999,0.0,0.0,0.0,0.0,0.0,0.0,1.8,14.310085716
325,Total S. & Cent. America,1966,213.920475,,309.9610869,5.837924046,,13.62337727,,10.03498942,44.34863223,0.002715301,0.012,87.14809922,223.8876315,22.82989042,116.6471053,0.0,0.0,0.0,0.0,0.0,0.0,1.8,13.921372080000001
326,Total S. & Cent. America,1967,219.33848799999998,,321.534296,6.182069845,,14.68951728,,10.62488797,46.95562992,0.008598452,0.038,89.87905702,238.2845639,23.170173300000002,121.38413059999999,0.0,0.0,0.0,0.0,0.0,0.0,1.8,13.528138517999999
327,Total S. & Cent. America,1968,224.79284500000003,,340.9951869,5.930056308999999,,15.438475899999998,,11.293747699999999,49.91158857,0.004072951,0.018000000000000002,96.30438086,244.65519390000003,24.02098999,128.9707337,0.0,0.0,0.0,0.0,0.0,0.0,1.8,12.985747398
328,Total S. & Cent. America,1969,230.282667,,356.04304510000003,6.451580772000001,,15.8899383,,12.20751092,53.94987377,0.011540028,0.051,100.78882309999999,245.1433725,24.60805437,135.3493931,0.0,0.0,0.0,0.0,0.0,0.0,1.8,12.321318276
329,Total S. & Cent. America,1970,235.80882799999998,,369.63926680000003,7.151742746,,16.17330287,16.07883168,14.90804101,65.88459643,0.010182378,0.045,104.8390391,251.75732169999998,25.42693818,143.2095273,0.127219191,0.5622324910000001,0.0,0.0,0.0,0.0,1.8,11.634289523999998
330,Total S. & Cent. America,1971,241.57826699999998,,409.730575,6.646356973,,16.47094364,16.51711648,16.46838029,72.78035984,0.009503553,0.042,118.46349769999999,245.87786609999998,27.47728522,158.5438747,0.485192529,2.144259864,0.0,0.0,0.0,0.0,2.24,13.870748908800001
331,Total S. & Cent. America,1972,247.17098399999998,,436.50102089999996,6.511058716,,17.43780475,17.42877681,18.68794853,82.58951974,0.016518078999999998,0.073,127.5174795,234.2717744,28.90670675,170.6529844,0.482174806,2.130923339,0.0,0.0,0.0,0.0,2.48,14.8898415576
332,Total S. & Cent. America,1973,252.814423,,477.00033990000003,6.795989761,,19.78724382,19.90199275,20.95113893,92.59146340000001,0.010408653,0.046,139.5096278,249.31166639999998,31.062546899999997,187.5671126,0.5127037179999999,2.265842809,0.0,0.0,0.0,0.0,3.29,18.5964570953
333,Total S. & Cent. America,1974,258.533246,,493.5486573,7.4183542639999995,,20.85193392,21.05910116,24.05691531,106.31713149999999,0.237883152,1.0513008,143.74637919999998,227.0701139,31.87868129,196.8495976,0.538131754,2.378219471,0.0,0.0,0.0,0.0,11.58,58.99964872739999
334,Total S. & Cent. America,1975,264.34595,,492.7161348,7.7846038879999995,,20.80258978,21.03953025,26.08625506,115.2855956,0.523656876,2.3142492000000003,143.2323743,191.7522611,31.53057213,199.0775543,0.648074448,2.864100217,0.0,0.0,0.0,0.0,11.53,53.82295236889999
335,Total S. & Cent. America,1976,270.253595,,519.7905652,7.83411976,,24.32065618,23.58225873,29.12442889,128.712501,0.535072951,2.3647014,150.2228468,190.3687845,32.96655959,212.79572090000002,0.7585963059999999,3.352540517,0.0,0.0,0.0,0.0,12.8,56.472959872000004
336,Total S. & Cent. America,1977,276.252469,,545.0652147999999,8.951988922,,26.25161497,25.50024954,32.34724062,142.95539519999997,0.366,1.6175004,156.3378175,188.7450664,34.11335183,225.0859288,0.831266817,3.67370057,0.0,0.0,0.0,0.0,13.92,57.6393016656
337,Total S. & Cent. America,1978,282.349735,,564.7099081,9.593097287,,27.02545604,26.95078622,35.73089658,157.9091243,0.648,2.8637712000000004,163.76295890000003,189.08374990000002,35.24452166,237.68227169999997,0.921862863,4.074080737,0.0,0.0,0.0,0.0,14.02,53.99570766871165
338,Total S. & Cent. America,1979,288.552817,,593.0573087,10.14581171,,29.10314126,28.01476422,40.54299454,179.1757101,0.602,2.6604787999999995,171.75500569999997,202.4540603,36.72948108,253.13832119999998,0.9893680509999999,4.372413163,0.0,0.0,0.0,0.0,31.61,109.33184944903581
339,Total S. & Cent. America,1980,294.962514,,611.2895417999999,10.75673775,,30.9866404,30.3131217,45.40790098,200.67567759999997,0.523,2.3113462000000005,175.6440658,194.7308069,37.51740834,264.3123407,0.993995812,4.392865093999999,0.0,0.0,0.0,0.0,36.83,112.23629623786407
340,Total S. & Cent. America,1981,301.38518500000004,,606.6149962999999,10.62027406,6.791984262000001,31.98146985,31.29704186,46.08098298,203.65029619999999,0.63,2.784222,173.46227240000002,192.940497,36.65745632,263.8772871,1.102287785,4.871450638,0.0,0.0,0.0,0.0,35.93,99.25494510451044
341,Total S. & Cent. America,1982,307.9069,,596.5795762,10.68148269,7.304751536,35.50602594,34.37733806,49.70989442,219.6879074,0.42100000000000004,1.8605673999999999,169.5899264,184.7968625,36.3266192,267.1543113,1.245981854,5.506492204,0.0,0.0,0.0,0.0,32.97,85.79272321243523
342,Total S. & Cent. America,1983,314.497957,,587.3529407999999,11.88173263,7.947808407999999,36.82403369,37.48615063,53.57297138,236.7603897,0.762,3.3675828,165.1889177,183.19213680000001,35.89947218,269.6644372,1.43478187,6.340874997,0.0,0.0,0.0,0.0,29.55,74.50011897590362
343,Total S. & Cent. America,1984,321.119031,,593.0847986,13.64258215,9.619113992,39.76845086,39.92837949,59.2000926,261.6288893,1.4097699240000001,6.2303372,164.2144483,193.1826491,36.45867313,279.6305959,1.395252057,6.166176942000001,0.0,0.0,0.0,0.0,28.78,69.55591395572667
344,Total S. & Cent. America,1985,327.802173,,593.8100754,15.807587900000001,11.32900206,40.5308728,40.77078811,64.15158589,283.5115187,2.070035978,9.148317,162.77424019999998,192.6401502,36.61898429,286.7054223,1.371099516,6.059437203,0.0,0.0,0.0,0.0,27.56,64.31699739776951
345,Total S. & Cent. America,1986,334.407502,,629.237905,15.96326498,12.46218919,43.80048586,44.16465717,69.23691982,305.9856435,1.324583609,5.8538648,173.8617286,206.4955857,38.26145724,305.60137430000003,1.414391398,6.250761345,0.0,0.0,0.0,0.0,14.43,33.06089425182482
346,Total S. & Cent. America,1987,340.997061,,646.1721289,17.59654444,15.10308396,43.95966693,44.17610095,73.86317491,326.43091519999996,1.6831656330000002,7.4385822,178.1051044,203.5920707,38.88781095,316.7246881,1.517031755,6.704370138,0.0,0.0,0.0,0.0,18.4350393700787,40.74971330195733
